type,date,value,value_kwh,standing_charge,charge_per_kwh,value_gbp
gas,2024-11-12,3.189000000000001,35.51082249000001,0.2852,0.061,2.4513601718900007
gas,2024-11-13,3.4389999999999987,38.29467498999999,0.2852,0.061,2.6211751743899994
gas,2024-11-14,3.079,34.285927390000005,0.2852,0.061,2.3766415707900004
gas,2024-11-15,2.927999999999999,32.60448047999999,0.2852,0.061,2.2740733092799994
gas,2024-11-16,4.892,54.474425720000006,0.2852,0.061,3.60813996892
gas,2024-11-17,3.6680000000000015,40.84468388000002,0.2852,0.061,2.7767257166800015
gas,2024-11-18,4.197000000000001,46.735315770000014,0.2852,0.061,3.136054261970001
gas,2024-11-19,4.18,46.5460138,0.2852,0.061,3.1245068417999997
gas,2024-11-20,6.371000000000003,70.94369711000003,0.2852,0.061,4.612765523710001
gas,2024-11-21,8.559,95.30797419,0.2852,0.061,6.09898642559
gas,2024-11-22,6.55,72.9369355,0.2852,0.061,4.7343530655
gas,2024-11-23,4.5409999999999995,50.56589681,0.2852,0.061,3.36971970541
gas,2024-11-24,3.8939999999999997,43.361286539999995,0.2852,0.061,2.93023847894
gas,2024-11-25,3.5909999999999997,39.98725731,0.2852,0.061,2.72442269591
gas,2024-11-26,4.6670000000000025,51.968958470000025,0.2852,0.061,3.4553064666700015
gas,2024-11-27,4.078999999999999,45.42133738999999,0.2852,0.061,3.0559015807899996
gas,2024-11-28,5.487,61.09999467,0.2852,0.061,4.0122996748699995
gas,2024-11-29,5.504000000000001,61.28929664000002,0.2852,0.061,4.023847095040001
gas,2024-11-30,3.46,38.5285186,0.2852,0.061,2.6354396346
gas,2024-12-01,3.3369999999999997,37.15886317,0.2852,0.061,2.5518906533699997
gas,2024-12-02,4.060999999999999,45.220900009999994,0.2852,0.061,3.0436749006099997
gas,2024-12-03,4.079999999999999,45.43247279999999,0.2852,0.061,3.0565808407999997
gas,2024-12-04,4.477000000000001,49.853230570000015,0.2852,0.061,3.326247064770001
gas,2024-12-05,4.260000000000002,47.43684660000002,0.2852,0.061,3.178847642600001
gas,2024-12-06,3.4989999999999997,38.962799589999996,0.2852,0.061,2.6619307749899996
gas,2024-12-07,5.837999999999997,65.00852357999997,0.2852,0.061,4.250719938379998
gas,2024-12-08,5.781000000000001,64.37380521000001,0.2852,0.061,4.212002117810001
gas,2024-12-09,4.539,50.543625989999995,0.2852,0.061,3.36836118539
gas,2024-12-10,4.570999999999998,50.899959109999976,0.2852,0.061,3.3900975057099987
gas,2024-12-11,3.845,42.815651450000004,0.2852,0.061,2.8969547384500003
gas,2024-12-12,4.5729999999999995,50.92222992999999,0.2852,0.061,3.3914560257299997
gas,2024-12-13,4.287,47.73750267,0.2852,0.061,3.19718766287
gas,2024-12-14,5.620000000000002,62.581004200000024,0.2852,0.061,4.102641256200001
gas,2024-12-15,5.102999999999998,56.82399722999998,0.2852,0.061,3.751463831029999
gas,2024-12-16,3.7840000000000016,42.13639144000002,0.2852,0.061,2.8555198778400013
gas,2024-12-17,4.0360000000000005,44.94251476000001,0.2852,0.061,3.0266934003600006
gas,2024-12-18,3.3429999999999995,37.22567563,0.2852,0.061,2.55596621343
gas,2024-12-19,5.6290000000000004,62.68122289000001,0.2852,0.061,4.108754596290001
gas,2024-12-20,5.868000000000001,65.34258588000002,0.2852,0.061,4.271097738680001
gas,2024-12-21,6.463000000000001,71.96815483000002,0.2852,0.061,4.675257444630001
gas,2024-12-22,7.313000000000001,81.43325333000001,0.2852,0.061,5.252628453130001
gas,2024-12-23,6.598999999999999,73.48257059,0.2852,0.061,4.76763680599
gas,2024-12-24,4.663,51.924416830000006,0.2852,0.061,3.4525894266300003
gas,2024-12-25,3.188,35.49968708,0.2852,0.061,2.45068091188
gas,2024-12-26,3.477000000000001,38.717820570000015,0.2852,0.061,2.646987054770001
gas,2024-12-27,5.408999999999998,60.23143268999998,0.2852,0.061,3.959317394089999
gas,2024-12-28,4.4700000000000015,49.77528270000002,0.2852,0.061,3.3214922447000013
gas,2024-12-29,5.981,66.60088721,0.2852,0.061,4.347854119809999
gas,2024-12-30,5.476000000000002,60.97750516000002,0.2852,0.061,4.004827814760001
gas,2024-12-31,4.708,52.425510280000005,0.2852,0.061,3.4831561270800004
gas,2025-01-01,5.925,65.97730425,0.2852,0.061,4.30981555925
gas,2025-01-02,6.657999999999999,74.13955977999998,0.2852,0.061,4.8077131465799985
gas,2025-01-03,8.603000000000002,95.79793223000001,0.2852,0.061,6.12887386603
gas,2025-01-04,6.466000000000001,72.00156106000001,0.2852,0.061,4.677295224660001
gas,2025-01-05,6.001999999999999,66.83473081999999,0.2852,0.061,4.362118580019999
gas,2025-01-06,7.208,80.26403528,0.2852,0.061,5.1813061520799994
gas,2025-01-07,7.094999999999999,79.00573394999999,0.2852,0.061,5.104549770949999
gas,2025-01-08,6.792000000000002,75.63170472000002,0.2852,0.061,4.898733987920001
gas,2025-01-09,7.812999999999999,87.00095832999999,0.2852,0.061,5.592258458129999
gas,2025-01-10,7.348999999999998,81.83412808999998,0.2852,0.061,5.277081813489998
gas,2025-01-11,6.9399999999999995,77.2797454,0.2852,0.061,4.999264469399999
gas,2025-01-12,6.956,77.45791196,0.2852,0.061,5.01013262956
gas,2025-01-13,5.835,64.97511735,0.2852,0.061,4.24868215835
gas,2025-01-14,4.276000000000001,47.61501316000001,0.2852,0.061,3.1897158027600008
gas,2025-01-15,3.4760000000000004,38.706685160000006,0.2852,0.061,2.6463077947600007
gas,2025-01-16,4.771000000000001,53.12704111000001,0.2852,0.061,3.5259495077100005
gas,2025-01-17,4.3229999999999995,48.13837743,0.2852,0.061,3.22164102323
gas,2025-01-18,5.122,57.03557002,0.2852,0.061,3.76436977122
gas,2025-01-19,5.512999999999999,61.38951532999999,0.2852,0.061,4.029960435129999
gas,2025-01-20,5.122999999999998,57.04670542999998,0.2852,0.061,3.765049031229999
gas,2025-01-21,5.456000000000001,60.754796960000014,0.2852,0.061,3.991242614560001
gas,2025-01-22,7.330000000000003,81.62255530000003,0.2852,0.061,5.264175873300001
gas,2025-01-23,6.967000000000001,77.58040147000001,0.2852,0.061,5.01760448967
gas,2025-01-24,6.302,70.17535382,0.2852,0.061,4.56589658302
gas,2025-01-25,6.283000000000001,69.96378103000002,0.2852,0.061,4.552990642830001
gas,2025-01-26,7.722999999999999,85.99877142999999,0.2852,0.061,5.531125057229999
gas,2025-01-27,5.638000000000002,62.78144158000002,0.2852,0.061,4.114867936380001
gas,2025-01-28,5.5680000000000005,62.00196288000001,0.2852,0.061,4.06731973568
gas,2025-01-29,5.544,61.734713039999995,0.2852,0.061,4.051017495439999
gas,2025-01-30,5.720000000000001,63.69454520000001,0.2852,0.061,4.1705672572
gas,2025-01-31,4.497,50.07593877,0.2852,0.061,3.33983226497
gas,2025-02-01,5.823,64.84149243,0.2852,0.061,4.24053103823
gas,2025-02-02,5.951999999999999,66.27796031999999,0.2852,0.061,4.328155579519999
gas,2025-02-03,5.792999999999999,64.50743012999999,0.2852,0.061,4.220153237929999
gas,2025-02-04,5.8340000000000005,64.96398194000001,0.2852,0.061,4.24800289834
gas,2025-02-05,4.768999999999999,53.10477028999999,0.2852,0.061,3.5245909876899995
gas,2025-02-06,5.426000000000001,60.420734660000015,0.2852,0.061,3.970864814260001
gas,2025-02-07,5.609000000000002,62.45851469000002,0.2852,0.061,4.095169396090001
gas,2025-02-08,5.607,62.436243870000006,0.2852,0.061,4.09381087607
gas,2025-02-09,5.754999999999998,64.08428454999998,0.2852,0.061,4.194341357549998
gas,2025-02-10,5.9570000000000025,66.33363737000003,0.2852,0.061,4.331551879570002
gas,2025-02-11,,,0.2852,0.061,
gas,2025-02-12,5.595,62.302618949999996,0.2852,0.061,4.085659755949999
gas,2025-02-13,6.0200000000000005,67.0351682,0.2852,0.061,4.374345260199999
gas,2025-02-14,5.596999999999998,62.32488976999998,0.2852,0.061,4.0870182759699984
gas,2025-02-15,5.262000000000002,58.59452742000003,0.2852,0.061,3.8594661726200017
gas,2025-02-16,5.376999999999999,59.87509956999999,0.2852,0.061,3.937581073769999
gas,2025-02-17,5.780999999999999,64.37380520999999,0.2852,0.061,4.212002117809999
gas,2025-02-18,5.793999999999999,64.51856553999998,0.2852,0.061,4.220832497939999
gas,2025-02-19,5.1129999999999995,56.935351329999996,0.2852,0.061,3.75825643113
gas,2025-02-20,5.078999999999999,56.55674738999999,0.2852,0.061,3.7351615907899993
gas,2025-02-21,3.0489999999999995,33.95186509,0.2852,0.061,2.35626377049
gas,2025-02-22,3.5199999999999996,39.1966432,0.2852,0.061,2.6761952352
gas,2025-02-23,3.0750000000000006,34.241385750000006,0.2852,0.061,2.3739245307500005
gas,2025-02-24,3.2039999999999975,35.677853639999974,0.2852,0.061,2.4615490720399986
gas,2025-02-25,4.942,55.031196220000005,0.2852,0.061,3.6421029694200002
gas,2025-02-26,6.583000000000001,73.30440403000001,0.2852,0.061,4.75676864583
gas,2025-02-27,4.726,52.62594766,0.2852,0.061,3.49538280726
gas,2025-02-28,3.9810000000000008,44.33006721000001,0.2852,0.061,2.9893340998100006
gas,2025-03-01,5.499000000000001,61.23361959000002,0.2852,0.061,4.020450794990001
gas,2025-03-02,5.907000000000001,65.77686687,0.2852,0.061,4.29758887907
gas,2025-03-03,4.7379999999999995,52.75957258,0.2852,0.061,3.50353392738
gas,2025-03-04,4.087000000000001,45.51042067000001,0.2852,0.061,3.0613356608700006
gas,2025-03-05,4.274,47.59274234,0.2852,0.061,3.18835728274
gas,2025-03-06,3.5520000000000005,39.552976320000006,0.2852,0.061,2.6979315555200003
gas,2025-03-07,2.591,28.851847310000004,0.2852,0.061,2.0451626859100003
gas,2025-03-08,3.0309999999999997,33.751427709999994,0.2852,0.061,2.3440370903099996
gas,2025-03-09,2.2479999999999998,25.03240168,0.2852,0.061,1.8121765024799998
gas,2025-03-10,3.013,33.55099033,0.2852,0.061,2.33181041013
gas,2025-03-11,4.202000000000001,46.790992820000014,0.2852,0.061,3.139450562020001
gas,2025-03-12,4.571,50.89995911,0.2852,0.061,3.39009750571
